owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
oblador,react-native-vector-icons,oblador/react-native-vector-icons,17775,2113,TypeScript,233,22.0,rapid,16400,False,,,,,,,,,,,,,,
nhn,tui.editor,nhn/tui.editor,17773,1839,TypeScript,134,14.0,rapid,2700,False,,,,,,,,,,,,,,
mjmlio,mjml,mjmlio/mjml,17745,980,JavaScript,105,17.0,rapid,19600,False,,,,,,,,,,,,,,
Predidit,Kazumi,Predidit/Kazumi,17732,514,Dart,89,5.0,rapid,3400,False,,,,,,,,,,,,,,
aFarkas,lazysizes,aFarkas/lazysizes,17727,1721,JavaScript,95,13.0,rapid,5600,False,,,,,,,,,,,,,,
apernet,hysteria,apernet/hysteria,17715,1943,Go,74,17.0,rapid,2400,False,,,,,,,,,,,,,,
BookStackApp,BookStack,BookStackApp/BookStack,17710,2264,PHP,213,13.0,rapid,22600,False,,,,,,,,,,,,,,
4ian,GDevelop,4ian/GDevelop,17707,1148,JavaScript,249,9.0,rapid,10100,False,,,,,,,,,,,,,,
AssemblyScript,assemblyscript,AssemblyScript/assemblyscript,17665,678,WebAssembly,210,5.0,rapid,7500,False,,,,,,,,,,,,,,
zincsearch,zincsearch,zincsearch/zincsearch,17651,763,Go,38,13.0,rapid,6300,False,,,,,,,,,,,,,,
redwoodjs,graphql,redwoodjs/graphql,17643,1016,TypeScript,312,5.0,rapid,46800,False,,,,,,,,,,,,,,
justadudewhohacks,face-api.js,justadudewhohacks/face-api.js,17633,3889,TypeScript,38,7.5,rapid,2400,False,,,,,,,,,,,,,,
swagger-api,swagger-codegen,swagger-api/swagger-codegen,17628,6043,Mustache,143,30.0,rapid,124200,False,,,,,,,,,,,,,,
eosphoros-ai,DB-GPT,eosphoros-ai/DB-GPT,17626,2465,Python,51,13.0,rapid,16600,False,,,,,,,,,,,,,,
google,libphonenumber,google/libphonenumber,17622,2128,C++,216,14.0,rapid,15100,False,,,,,,,,,,,,,,
microsoft,CNTK,microsoft/CNTK,17603,4265,C++,32,20.0,rapid,27400,False,,,,,,,,,,,,,,
npm,npm,npm/npm,17587,3007,Unknown,261,6.0,rapid,56800,False,,,,,,,,,,,,,,
rocksdanister,lively,rocksdanister/lively,17575,1196,C#,64,16.0,rapid,500,False,,,,,,,,,,,,,,
dotnet,corefx,dotnet/corefx,17562,4870,Unknown,113,26.5,rapid,200,False,,,,,,,,,,,,,,
