owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
kubernetes-sigs,kind,14740,1681,Go,36,35500,60,SLOW,60 dias (mediana) entre releases
powerline,powerline,14644,1006,Python,23,15300,85,SLOW,85 dias (mediana) entre releases
neovide,neovide,14556,580,Rust,30,22200,51,SLOW,51 dias (mediana) entre releases
FLEXTool,FLEX,14485,1770,Objective-C,31,12200,54.5,SLOW,54.5 dias (mediana) entre releases
arduino,Arduino,14471,6998,Java,37,30400,72.0,SLOW,72.0 dias (mediana) entre releases
google,brotli,14423,1303,TypeScript,22,12000,78,SLOW,78 dias (mediana) entre releases
scala,scala,14421,3105,Scala,78,72100,53.5,SLOW,53.5 dias (mediana) entre releases
shelljs,shelljs,14379,744,JavaScript,20,9500,76.5,SLOW,76.5 dias (mediana) entre releases
glfw,glfw,14367,5683,C,22,20300,103,SLOW,103 dias (mediana) entre releases
flairNLP,flair,14324,2131,Python,28,27600,69,SLOW,69 dias (mediana) entre releases
keycastr,keycastr,14303,549,Objective-C,26,2700,110,SLOW,110 dias (mediana) entre releases
direnv,direnv,14283,726,Go,64,24800,55.5,SLOW,55.5 dias (mediana) entre releases
beetbox,beets,14270,1942,Python,41,62700,62.5,SLOW,62.5 dias (mediana) entre releases
davisking,dlib,14226,3455,C++,34,20700,80.5,SLOW,80.5 dias (mediana) entre releases
forwardemail,supertest,14226,779,JavaScript,42,10300,65,SLOW,65 dias (mediana) entre releases
sogou,workflow,14178,2552,C++,32,3600,59,SLOW,59 dias (mediana) entre releases
spotify,annoy,14022,1213,C++,20,8900,67,SLOW,67 dias (mediana) entre releases
sivel,speedtest-cli,13995,1934,Python,22,900,71,SLOW,71 dias (mediana) entre releases
json-iterator,go,13893,1059,Go,20,5300,71.0,SLOW,71.0 dias (mediana) entre releases
sindresorhus,pure,13885,997,Shell,41,9400,84,SLOW,84 dias (mediana) entre releases
apache,druid,13869,3761,Java,68,72600,62,SLOW,62 dias (mediana) entre releases
xournalpp,xournalpp,13848,961,C++,36,24400,57,SLOW,57 dias (mediana) entre releases
alphacep,vosk-api,13625,1607,Jupyter Notebook,20,4600,50.5,SLOW,50.5 dias (mediana) entre releases
tink-crypto,tink,13559,1181,Java,21,11700,57.5,SLOW,57.5 dias (mediana) entre releases
mwaskom,seaborn,13557,2044,Python,37,21500,69.0,SLOW,69.0 dias (mediana) entre releases
sql-js,sql.js,13413,1096,JavaScript,22,5500,88.5,SLOW,88.5 dias (mediana) entre releases
fluent,fluentd,13387,1373,Ruby,22,27700,61,SLOW,61 dias (mediana) entre releases
