owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
pqrs-org,Karabiner-Elements,pqrs-org/Karabiner-Elements,20970,882,C++,45,51.0,slow,5100,True,2025-11-16T17:40:46.960959,15,0,311,3989,0.0,0.8,6130,1431,2334,5.0,1.0,1.0,OK
jarun,nnn,jarun/nnn,20839,785,C,42,56.5,slow,21200,True,2025-11-16T17:39:01.177467,0,0,0,0,0.0,0.0,11,2,0,1.0,1.0,1.0,OK
apache,mxnet,apache/mxnet,20832,6752,C++,34,64.0,slow,98600,True,2025-11-16T17:41:28.216467,178,4,3545,27259,0.0,4.7,126119,22836,24874,5.0,4.0,1.0,OK
mybatis,mybatis-3,mybatis/mybatis-3,20286,12959,Java,46,108.0,slow,28300,False,,,,,,,,,,,,,,
ReactiveX,RxAndroid,ReactiveX/RxAndroid,20187,2952,Java,20,69.0,slow,8000,False,,,,,,,,,,,,,,
getsops,sops,getsops/sops,19939,981,Go,32,60.0,slow,18900,True,2025-11-16T17:40:11.436379,0,1,311,3175,0.0,6.9,20897,3030,3113,1.0,5.0,1.0,OK
qax-os,excelize,qax-os/excelize,19923,1851,Go,25,116.0,slow,28800,True,2025-11-16T17:42:04.029713,0,0,1250,27118,0.0,3.2,66285,10556,11745,1.0,1.0,1.0,OK
onnx,onnx,onnx/onnx,19876,3827,Python,34,76.5,slow,36500,True,2025-11-16T17:45:58.457501,16,0,1764,10467,0.0,11.0,78223,6867,6372,5.0,1.0,1.0,OK
facebook,prophet,facebook/prophet,19783,4642,Python,23,143.0,slow,18800,True,2025-11-16T17:41:19.756218,34,0,120,876,0.0,0.2,7668,732,710,4.0,1.0,1.0,OK
ahmetb,kubectx,ahmetb/kubectx,19198,1342,Go,21,82.5,slow,6400,True,2025-11-16T17:41:31.854633,0,0,53,244,0.0,6.7,2354,465,396,1.0,1.0,1.0,OK
antlr,antlr4,antlr/antlr4,18508,3410,Java,31,106.0,slow,42100,False,,,,,,,,,,,,,,
facebook,yoga,facebook/yoga,18424,1504,C++,33,52.0,slow,31700,False,,,,,,,,,,,,,,
Orange-OpenSource,hurl,Orange-OpenSource/hurl,18109,694,Rust,28,53.0,slow,8700,True,2025-11-16T17:43:31.129193,11,1,142,735,0.0,25.2,86719,8297,4041,3.0,4.0,1.0,OK
tj,git-extras,tj/git-extras,17861,1221,Shell,25,181.0,slow,28700,True,2025-11-16T17:42:33.519602,78,0,333,496,0.0,38.0,9391,223,95,3.0,1.0,1.0,OK
microsoft,LightGBM,microsoft/LightGBM,17839,3963,C++,34,61.0,slow,33400,True,2025-11-16T17:42:48.542207,12,0,272,2366,0.0,3.9,17675,2146,2476,4.0,1.0,1.0,OK
