owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
VsVim,VsVim,VsVim/VsVim,3743,415,C#,21,135.5,slow,7500,True,2025-11-16T22:01:51.870007,0,0,0,0,0.0,0.0,710,0,0,1.0,1.0,1.0,OK
kasketis,netfox,kasketis/netfox,3736,390,Swift,39,180.5,slow,5700,True,2025-11-16T22:01:44.864798,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
flasgger,flasgger,flasgger/flasgger,3729,527,Python,24,69.0,slow,11200,True,2025-11-16T22:02:15.779859,7,1,130,936,0.0,3.2,5971,744,883,4.0,5.0,1.0,OK
maruel,panicparse,maruel/panicparse,3706,102,Go,21,56.5,slow,1600,True,2025-11-16T22:02:07.070799,0,0,170,1916,0.0,7.7,10830,1763,1578,1.0,1.0,1.0,OK
hanickadot,compile-time-regular-expressions,hanickadot/compile-time-regular-expressions,3701,203,C++,27,78.0,slow,3300,True,2025-11-16T22:02:36.904232,0,0,46,224,0.0,0.0,100,20,24,1.0,1.0,2.0,OK
Kotlin,dokka,Kotlin/dokka,3699,466,Kotlin,50,54.0,slow,15700,False,,,,,,,,,,,,,,
piroor,treestyletab,piroor/treestyletab,3689,292,JavaScript,44,57.0,slow,9800,True,2025-11-16T22:03:33.434204,150,0,1750,13896,0.0,4.0,53681,11994,10789,5.0,1.0,1.0,OK
grpc-ecosystem,grpc-spring,grpc-ecosystem/grpc-spring,3685,863,Java,34,59.5,slow,8100,False,,,,,,,,,,,,,,
davidstutz,bootstrap-multiselect,davidstutz/bootstrap-multiselect,3680,1967,HTML,20,73.0,slow,11900,True,2025-11-16T22:03:17.967928,14,0,718,3815,0.0,7.8,15892,1425,938,4.0,1.0,1.0,OK
oblador,react-native-progress,oblador/react-native-progress,3674,517,JavaScript,23,78.5,slow,3900,False,,,,,,,,,,,,,,
jwt,ruby-jwt,jwt/ruby-jwt,3663,375,Ruby,36,89.0,slow,14500,False,,,,,,,,,,,,,,
pgbouncer,pgbouncer,pgbouncer/pgbouncer,3646,520,C,23,101.5,slow,10800,True,2025-11-16T22:03:29.433826,11,0,159,339,0.0,2.2,5735,629,349,3.0,1.0,1.0,OK
abhiTronix,vidgear,abhiTronix/vidgear,3635,273,Python,23,77.0,slow,1500,True,2025-11-16T22:03:40.100933,6,0,424,3035,0.0,2.5,10843,2018,3180,4.0,1.0,1.0,OK
kamiyaa,joshuto,kamiyaa/joshuto,3633,161,Rust,22,100.5,slow,7600,True,2025-11-16T22:03:39.878413,0,0,22,131,0.0,2.6,14328,2756,1959,1.0,1.0,1.0,OK
upper,db,upper/db,3626,239,Go,39,69.0,slow,4100,True,2025-11-16T22:04:11.615540,1,3,166,1612,0.0,19.4,25240,3382,2778,3.0,5.0,1.0,OK
fatfreecrm,fat_free_crm,fatfreecrm/fat_free_crm,3625,1326,Ruby,40,113.0,slow,15300,True,2025-11-16T22:05:23.523565,9,0,332,2627,0.0,2.8,22873,1898,1290,5.0,1.0,1.0,OK
clojure-emacs,cider,clojure-emacs/cider,3615,651,Emacs Lisp,55,71.0,slow,35300,True,2025-11-16T22:04:22.695492,0,0,4,20,0.0,0.0,41,0,0,1.0,1.0,1.0,OK
spockframework,spock,spockframework/spock,3614,476,Java,26,121.0,slow,13100,False,,,,,,,,,,,,,,
sjtug,SJTUThesis,sjtug/SJTUThesis,3612,797,TeX,23,146.0,slow,4800,True,2025-11-16T22:04:24.634212,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
knadh,koanf,knadh/koanf,3610,181,Go,24,54.0,slow,6100,True,2025-11-16T22:04:32.310680,0,0,105,1149,0.0,6.5,8132,1000,1086,1.0,1.0,1.0,OK
jkbrzt,rrule,jkbrzt/rrule,3606,539,TypeScript,27,95.0,slow,7200,True,2025-11-16T22:05:25.306967,2,0,190,1143,0.0,4.7,9107,1149,874,3.0,1.0,1.0,OK
luarocks,luarocks,luarocks/luarocks,3600,467,Lua,68,73.5,slow,11800,True,2025-11-16T22:05:13.557737,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
pavel-odintsov,fastnetmon,pavel-odintsov/fastnetmon,3597,578,C++,20,100.0,slow,5500,True,2025-11-16T22:05:21.193876,1,2,117,498,0.0,2.5,1269,116,224,3.0,4.0,1.0,OK
pwntester,ysoserial.net,pwntester/ysoserial.net,3596,520,C#,20,57.0,slow,3800,True,2025-11-16T22:05:23.260710,0,0,1,5,0.0,0.0,56,0,0,1.0,1.0,1.0,OK
jimsalterjrs,sanoid,jimsalterjrs/sanoid,3582,336,Perl,20,160.5,slow,10300,True,2025-11-16T22:05:26.474389,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
askama-rs,askama-old,askama-rs/askama-old,3581,219,Rust,20,59.0,slow,13200,True,2025-11-16T22:06:27.245829,9,0,17,86,0.0,3.2,14660,1772,768,3.0,1.0,1.0,OK
WordPress,Requests,WordPress/Requests,3579,503,PHP,22,76.0,slow,7200,True,2025-11-16T22:06:34.087006,23,3,505,3621,0.0,3.9,10650,1650,1200,3.0,4.0,1.0,OK
mcuadros,ofelia,mcuadros/ofelia,3571,198,Go,30,50.5,slow,3500,True,2025-11-16T22:06:15.520622,0,0,31,295,0.0,1.3,3487,483,421,1.0,1.0,1.0,OK
google,nsjail,google/nsjail,3563,293,C++,25,55.5,slow,5400,True,2025-11-16T22:06:13.075178,0,0,4,20,0.0,0.0,25,0,0,1.0,1.0,1.0,OK
thoughtbot,shoulda-matchers,thoughtbot/shoulda-matchers,3560,911,Ruby,25,132.0,slow,33400,True,2025-11-16T22:07:05.218395,8,0,367,3372,0.0,1.1,41433,3613,1576,3.0,1.0,1.0,OK
conduktor,kafka-stack-docker-compose,conduktor/kafka-stack-docker-compose,3560,1310,Shell,22,73.5,slow,2800,True,2025-11-16T22:06:14.870000,0,2,0,0,0.0,0.0,0,0,0,1.0,5.0,1.0,OK
microcosm-cc,bluemonday,microcosm-cc/bluemonday,3559,190,Go,26,60.0,slow,4200,True,2025-11-16T22:06:59.740166,0,0,54,1397,0.0,5.7,7988,1041,1390,1.0,1.0,1.0,OK
pytorch,text,pytorch/text,3559,814,Python,31,72.0,slow,15500,True,2025-11-16T22:07:26.313206,6,0,281,1643,0.0,5.2,14856,1909,1699,5.0,1.0,1.0,OK
dunglas,vulcain,dunglas/vulcain,3558,106,Go,21,67.0,slow,2300,True,2025-11-16T22:07:15.467841,9,0,46,321,0.0,1.9,2038,334,306,2.0,1.0,1.0,OK
ngxs,store,ngxs/store,3556,406,TypeScript,28,75.0,slow,17600,True,2025-11-16T22:11:43.873358,12,0,943,8023,0.0,10.6,28185,4187,889,3.0,1.0,1.0,OK
